0 [-9.77e-02, -9.77e-02]
200 [5.11e-01, 4.08e+00]
400 [8.55e-02, 4.02e+00]
600 [-4.59e-04, 4.00e+00]
800 [-4.14e-03, 4.00e+00]
1000 [-3.86e-03, 4.00e+00]
1200 [-3.14e-03, 4.00e+00]
1400 [-2.40e-03, 4.00e+00]
1600 [-1.81e-03, 4.00e+00]
1800 [-1.43e-03, 4.00e+00]
2000 [-8.39e-04, 4.00e+00]
2200 [-1.07e-03, 4.00e+00]
2400 [-1.09e-03, 4.00e+00]
2600 [-1.03e-03, 4.00e+00]
2800 [-1.02e-03, 4.00e+00]
3000 [-6.79e-04, 4.00e+00]
3200 [-1.76e-03, 4.00e+00]
3400 [-9.14e-04, 4.00e+00]
3600 [-8.68e-04, 4.00e+00]
3800 [-5.40e-04, 4.00e+00]
4000 [-1.37e-02, 3.96e+00]
4200 [-8.11e-04, 4.00e+00]
4400 [-7.80e-04, 4.00e+00]
4600 [-6.82e-04, 4.00e+00]
4800 [-7.39e-04, 4.00e+00]
5000 [-7.33e-04, 4.00e+00]
5200 [-6.38e-04, 4.00e+00]
5400 [-3.73e-03, 3.99e+00]
5600 [-6.56e-04, 4.00e+00]
5800 [-6.39e-04, 4.00e+00]
6000 [5.17e-03, 4.01e+00]
6200 [-5.99e-04, 4.00e+00]
6400 [-5.73e-04, 4.00e+00]
6600 [-8.04e-04, 4.00e+00]
6800 [-5.39e-04, 4.00e+00]
7000 [-5.64e-04, 4.00e+00]
7200 [-5.50e-04, 4.00e+00]
7400 [-4.85e-04, 4.00e+00]
7600 [-5.35e-04, 4.00e+00]
7800 [-6.52e-05, 4.00e+00]
8000 [-4.35e-04, 4.00e+00]
8200 [-3.63e-04, 4.00e+00]
8400 [-3.22e-03, 4.00e+00]
8600 [-3.84e-04, 4.00e+00]
8800 [-3.85e-04, 4.00e+00]
9000 [-1.01e-02, 3.98e+00]
9200 [-3.39e-04, 4.00e+00]
9400 [-3.40e-04, 4.00e+00]
9600 [3.80e-04, 4.00e+00]
9800 [-3.76e-04, 4.00e+00]
10000 [-2.94e-04, 4.00e+00]
