0 [-1.96e+00, -2.04e+00]
200 [-8.68e-01, -3.23e-01]
400 [-4.27e-01, -2.06e-01]
600 [-1.37e-01, -7.73e-02]
800 [-5.68e-02, -3.04e-02]
1000 [-4.01e-02, -2.47e-02]
1200 [-2.92e-02, -1.84e-02]
1400 [-2.15e-02, -1.27e-02]
1600 [-1.64e-02, -8.50e-03]
1800 [-1.34e-02, -5.88e-03]
2000 [-1.13e-02, -4.80e-03]
2200 [-1.09e-02, -3.94e-03]
2400 [-1.05e-02, -3.56e-03]
2600 [-1.01e-02, -3.36e-03]
2800 [-9.88e-03, -3.18e-03]
3000 [-9.36e-03, -3.10e-03]
3200 [-1.04e-02, -2.57e-03]
3400 [-9.00e-03, -2.79e-03]
3600 [-8.74e-03, -2.69e-03]
3800 [-8.02e-03, -2.58e-03]
4000 [-2.99e-02, -1.93e-04]
4200 [-7.97e-03, -2.38e-03]
4400 [-7.77e-03, -2.32e-03]
4600 [-7.88e-03, -2.02e-03]
4800 [-7.24e-03, -2.15e-03]
5000 [-7.06e-03, -2.08e-03]
5200 [-6.78e-03, -2.02e-03]
5400 [-1.12e-02, -1.99e-03]
5600 [-6.33e-03, -1.88e-03]
5800 [-6.20e-03, -1.84e-03]
6000 [8.66e-04, -2.64e-03]
6200 [-5.69e-03, -1.70e-03]
6400 [-5.51e-03, -1.65e-03]
6600 [-5.58e-03, -1.65e-03]
6800 [-5.07e-03, -1.52e-03]
7000 [-5.05e-03, -1.50e-03]
7200 [-4.74e-03, -1.42e-03]
7400 [-4.55e-03, -1.34e-03]
7600 [-4.45e-03, -8.98e-04]
7800 [-3.49e-03, -8.61e-04]
8000 [-4.02e-03, -1.15e-03]
8200 [-3.86e-03, -1.11e-03]
8400 [-6.38e-03, 5.24e-03]
8600 [-3.53e-03, -9.52e-04]
8800 [-3.53e-03, -9.57e-04]
9000 [-1.76e-02, -3.54e-03]
9200 [-3.11e-03, -7.50e-04]
9400 [-3.07e-03, -7.17e-04]
9600 [-2.18e-03, -9.94e-04]
9800 [-2.85e-03, -7.38e-04]
10000 [-2.67e-03, -5.27e-04]
