# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.819942235946655273e-01 2.423762977123260498e-01 1.077244758605957031e+00
1.000000000000000000e+03 4.605981812346726656e-04 4.283643502276390791e-04 4.528724774718284607e-02
2.000000000000000000e+03 3.506143548293039203e-05 7.941095100250095129e-05 1.949887163937091827e-02
3.000000000000000000e+03 1.229004192282445729e-05 4.890180207439698279e-05 1.530141942203044891e-02
4.000000000000000000e+03 7.410530542983906344e-06 4.331854142947122455e-05 1.440144889056682587e-02
5.000000000000000000e+03 5.133756530995015055e-06 4.025698217446915805e-05 1.388321071863174438e-02
6.000000000000000000e+03 3.077893052250146866e-05 5.910198524361476302e-05 1.682171784341335297e-02
7.000000000000000000e+03 1.454191442462615669e-05 4.722040830529294908e-05 1.503606326878070831e-02
8.000000000000000000e+03 2.307282102265162393e-06 3.233006282243877649e-05 1.244149357080459595e-02
9.000000000000000000e+03 1.735690375426202081e-06 2.934797885245643556e-05 1.185382157564163208e-02
1.000000000000000000e+04 1.289303781959461048e-06 2.661374128365423530e-05 1.128813717514276505e-02
